Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('x0', 0.0)
('x1', 0.0)
('x2', 0.0)
('x3', 0.0)
('x4', 99583.47555820439)
('x5', 257931.58777330845)
('x6', 0.0)
('x7', 16053.818258305751)
('x8', 224915.45956427546)
('x9', 0.0)
('x10', 0.0)
('x11', 0.0)
('x12', 288337.54453674424)
('x13', 290437.258761651)
('x14', 0.0)
('x15', 0.0)
('x16', 0.0)
('x17', 0.0)
('x18', 0.0)
('x19', 0.0)
('x20', 0.0)
('x21', 0.0)
('x22', 536963.8571049327)
('x23', 0.0)
('x24', 161451.99311847324)
('x25', 189665.594654949)
('x26', 206601.57291593045)
('x27', 230910.41283111973)
('x28', 0.0)
('x29', 0.0)
('x30', 0.0)
('x31', 0.0)
('x32', 0.0)
('x33', 195889.68889182337)
('x34', 372029.4025966839)
('x35', 0.0)
('x36', 88865.29910601863)
('x37', 0.0)
('x38', 0.0)
('x39', 0.0)
('x40', 0.0)
('x41', 0.0)
('x42', 0.0)
('x43', 0.0)
('x44', 0.0)
('x45', 0.0)
('x46', 0.0)
('x47', 0.0)
('x48', 0.0)
('x49', 0.0)
('x50', 0.0)
('x51', 0.0)
('x52', 0.0)
('x53', 0.0)
('x54', 0.0)
('x55', 0.0)
('x56', 0.0)
('x57', 0.0)
('x58', 0.0)
('x59', 0.0)
('x60', 0.0)
('x61', 0.0)
('x62', 0.0)
('x63', 0.0)
('x64', 0.0)
('x65', 0.0)
('x66', 0.0)
('x67', 0.0)
('x68', 0.0)
('x69', 0.0)
('x70', 0.0)
('x71', 0.0)
('x72', 0.0)
('x73', 0.0)
('x74', 0.0)
('x75', 0.0)
('x76', 0.0)
('x77', 0.0)
('x78', 0.0)
('x79', 0.0)
('x80', 0.0)
('x81', 0.0)
('x82', 0.0)
('x83', 0.0)
('x84', 0.0)
('x85', 0.0)
('x86', 0.0)
('x87', 0.0)
('x88', 0.0)
('x89', 0.0)
('x90', 0.0)
('x91', 0.0)
('x92', 0.0)
('x93', 0.0)
('x94', 0.0)
('x95', 0.0)
('x96', 0.0)
('x97', 0.0)
('d1600000', 0.0)
('d1600001', 0.0)
('d1600002', 0.0)
('d1600003', 0.0)
('d1600004', 0.0)
('d1600005', 0.0)
('d1600006', 0.0)
('d1600007', 0.0)
('d1600008', 0.0)
('d1600009', 0.0)
('d1600010', 0.0)
('d1600011', 0.0)
('d1600012', 0.0)
('d1600013', 0.0)
('d1600014', 0.0)
('d1600015', 0.0)
('d1600016', 0.0)
('d1600017', 0.0)
('d1600018', 0.0)
('d1600019', 0.0)
('d1600020', 0.0)
('d1600021', 0.0)
('d1600022', 0.0)
('d1600023', 0.0)
('d1600024', 0.0)
('d1600025', 0.0)
('d1600026', 0.0)
('d1600027', 0.0)
('d1600028', 0.0)
('d1600029', 0.0)
('d1600030', 0.0)
('d1600031', 0.0)
('d1600032', 0.0)
('d1600033', 0.0)
('d1600034', 0.0)
('d1600035', 0.0)
('d1600036', 0.0)
